"id","name","gst_no","user_id","credit_balance","debit_balance","financial_year","isDealer","type","createdAt","updatedAt"
166,Traveling,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
167,Postage and Telephone,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
168,Vehicle Maintenance,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
169,Sadar,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
170,Printing & Stationary,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
171,Insurance,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
172,Taxes & Licenses,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
173,Audit Fees,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
174,Commissions,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
175,Advertisement,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
176,Interest Paid,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
177,Amc cess,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
178,Freight,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
179,Coolie,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
180,Electricity,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
181,Ginning & Pressing Charges,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
184,Lease Rent,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
185,Machine Repair,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
190,Sample Testing Charges,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
191,Bank Charges,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
193,Sales Account,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
197,lakshmi srinivasa traders,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
198,Lakshmi durga stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
199,Chennaiah fancy,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
200,harsha vardhini G/S,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
202,A prasad general stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
203,AS kirana,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
