"id","category_id","entry_date","account_id","item_id","quantity","unit_price","total_amount","value","user_id","financial_year","unit_id","journal_id","type","createdAt","updatedAt"
15,17,"2024-05-01T00:00:00.000Z",196,9,"1","585.71","655.9952000000001","585.71",9,"2024-2025",12,15,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
420,18,"2024-04-06T00:00:00.000Z",209,10,"1","5848.44","6901.1592","5848.44",9,"2024-2025",12,420,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
16,17,"2024-05-01T00:00:00.000Z",197,9,"1","3645.21","4082.6352","3645.21",9,"2024-2025",12,16,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
19,17,"2024-05-01T00:00:00.000Z",200,9,"1","2058.56","2305.5872","2058.56",9,"2024-2025",12,19,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
22,17,"2024-05-01T00:00:00.000Z",202,9,"1","2405.08","2693.6895999999997","2405.08",9,"2024-2025",12,22,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
41,18,"2024-05-03T00:00:00.000Z",216,10,"1","2596.91","3064.3538","2596.91",9,"2024-2025",12,41,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
194,18,"2024-05-16T00:00:00.000Z",233,10,"1","2310.14","2725.9651999999996","2310.14",9,"2024-2025",12,194,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
625,18,"2024-04-30T00:00:00.000Z",224,10,"1","937.61","1106.3798","937.61",9,"2024-2025",12,625,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
696,16,"2024-06-08T00:00:00.000Z",224,8,"1","1657.14","1739.997","1657.14",9,"2024-2025",12,696,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
716,16,"2024-06-10T00:00:00.000Z",224,8,"1","952.38","999.999","952.38",9,"2024-2025",12,716,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
826,19,"2024-06-19T00:00:00.000Z",224,11,"1","10620","10620","10620.00",9,"2024-2025",12,826,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
828,18,"2024-06-19T00:00:00.000Z",224,10,"1","1121.19","1323.0042","1121.19",9,"2024-2025",12,828,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
24,16,"2024-05-02T00:00:00.000Z",203,8,"1","1154.29","1212.0045","1154.29",9,"2024-2025",12,24,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
25,16,"2024-05-02T00:00:00.000Z",204,8,"1","666.67","700.0034999999999","666.67",9,"2024-2025",12,25,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
26,17,"2024-05-02T00:00:00.000Z",204,9,"1","2185.71","2447.9952000000003","2185.71",9,"2024-2025",12,26,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
27,18,"2024-05-02T00:00:00.000Z",205,10,"1","2458.45","2900.9709999999995","2458.45",9,"2024-2025",12,27,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
28,18,"2024-05-02T00:00:00.000Z",206,10,"1","3457.83","4080.2394","3457.83",9,"2024-2025",12,28,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
29,18,"2024-05-02T00:00:00.000Z",207,10,"1","3000.1","3540.118","3000.10",9,"2024-2025",12,29,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
30,18,"2024-05-02T00:00:00.000Z",208,10,"1","2854.12","3367.8615999999997","2854.12",9,"2024-2025",12,30,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
31,18,"2024-05-02T00:00:00.000Z",209,10,"1","5834.92","6885.2056","5834.92",9,"2024-2025",12,31,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
32,17,"2024-05-02T00:00:00.000Z",210,9,"1","1352.14","1514.3968","1352.14",9,"2024-2025",12,32,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
33,18,"2024-05-02T00:00:00.000Z",210,10,"1","2191.21","2585.6278","2191.21",9,"2024-2025",12,33,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
34,18,"2024-05-02T00:00:00.000Z",211,10,"1","1969.51","2324.0218","1969.51",9,"2024-2025",12,34,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
35,18,"2024-05-02T00:00:00.000Z",212,10,"1","7988.63","9426.5834","7988.63",9,"2024-2025",12,35,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
36,18,"2024-05-02T00:00:00.000Z",199,10,"1","7307.34","8622.6612","7307.34",9,"2024-2025",12,36,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
37,16,"2024-05-03T00:00:00.000Z",213,8,"1","600","630","600.00",9,"2024-2025",12,37,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
38,18,"2024-05-03T00:00:00.000Z",204,10,"1","372.2","439.19599999999997","372.20",9,"2024-2025",12,38,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
39,18,"2024-05-03T00:00:00.000Z",214,10,"1","1041.41","1228.8638","1041.41",9,"2024-2025",12,39,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
40,18,"2024-05-03T00:00:00.000Z",221,10,"1","813.97","960.4846","813.97",9,"2024-2025",12,40,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
42,17,"2024-05-03T00:00:00.000Z",217,9,"1","2870.29","3214.7248","2870.29",9,"2024-2025",12,42,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
43,17,"2024-05-03T00:00:00.000Z",218,9,"1","185.89","208.1968","185.89",9,"2024-2025",12,43,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
