"entry_id","field_id","field_value","createdAt","updatedAt"
15,82,"35.1426","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
15,83,"35.1426","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
15,74,"210","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
420,84,"526.3596","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
420,85,"526.3596","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
420,74,"32","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
16,82,"218.7126","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
16,83,"218.7126","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
16,74,"211","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
19,82,"123.51360000000001","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
19,83,"123.51360000000001","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
19,74,"214","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
22,82,"144.3048","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
22,83,"144.3048","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
22,74,"216","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
41,84,"233.72189999999998","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
41,85,"233.72189999999998","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
41,74,"232","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
194,84,"207.9126","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
194,85,"207.9126","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
194,74,"353","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
625,84,"84.3849","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
625,85,"84.3849","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
625,74,"192","2025-03-01T08:22:14.181Z","2025-03-01T08:22:14.181Z"
