"id","name","description","user_id","credit_balance","debit_balance","financial_year","createdAt","updatedAt"
163,"Interest on Capital",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
164,"Remuneration to Capital",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
165,"Bank Account",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
166,"God",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
167,"Sundry Debtors",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
168,"Sundry Creditors",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
169,"Indirect Expenses",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
170,"Capital Account",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
171,"Current Assets",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
172,"Current Liabilities",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
173,"Fixed Assets",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
174,"Investments",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
175,"Unsecured Loans",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
176,"Loans and Advances",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
177,"Profit & Loss A/C",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
178,"Trading Account",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
179,"Secured Loans",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
180,"Bank OCC",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
181,"Cash On Hand",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
182,"Direct Expenses",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
183,"Direct Income",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
184,"Provisions",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
185,"Reserves & Surplus",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
186,"Stock In Hand",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
187,"Closing Stock",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
188,"Opening Stock",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
189,"Indirect Income",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
190,"Deposits",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
191,"Prepaid Expenses",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
192,"Inventories",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
193,"Liability For Expenses",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
194,"Above 3 months",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
195,"Below 3 months",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
196,"Advance For Expenses",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
197,"Salaries",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
198,"Depreciation",,9,0,0,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
