"id","journal_date","description","user_id","financial_year","type","createdAt","updatedAt"
323,"2024-05-27T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
328,"2024-05-28T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
330,"2024-05-28T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
332,"2024-05-28T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
334,"2024-05-28T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
710,"2024-06-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
24,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
25,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
26,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
27,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
28,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
29,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
30,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
31,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
32,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
33,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
34,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
35,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
36,"2024-05-02T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
37,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
38,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
39,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
40,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
42,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
43,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
44,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
45,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
46,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
47,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
48,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
49,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
50,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
51,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
52,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
53,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
55,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
56,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
57,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
58,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
59,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
60,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
61,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
62,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
63,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
64,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
65,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
66,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
67,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
68,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
69,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
